name,title,agency,acronym,division_path,phone,phone_2,division_phone,fax,address,city,state,zip,section,vacant,name_source,other_source_name
Elizabeth Reyes,Executive Director,"Employees Retirement System Board of Trustees, NYC",NYCERS,,(347) 643-3377,,,,335 Adams St.,Brooklyn,NY,11201,City,,Green Book,
Elsie Encarnacion,Member of City Council,City Council,NYCC,Members of the Council > Borough of Manhattan > 8th Council District,,,(212) 788-6960,,250 Broadway,New York,NY,10007,City,,Green Book,
Chi Ossé,Member of City Council,City Council,NYCC,Members of the Council > Borough of Brooklyn > 36th Council District,,,(212) 788-7354,,250 Broadway,New York,NY,10007,City,,Green Book,
Félix V. Matos Rodríguez,Chancellor,City University of New York,CUNY,,(646) 664-9100,,,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Shirley Aldebol,Member of City Council,City Council,NYCC,Members of the Council > Borough of the Bronx > 13th Council District,,,(212) 788-7375,,250 Broadway,New York,NY,10007,City,,Green Book,
Cristián Samper,President & CEO,Cultural Affairs,DCLA,Cultural Institutions Group > Bronx Zoo,,,(718) 220-5100,,2300 Southern Boulevard,Bronx,NY,10460,City,,Green Book,
"Jorge Petit, MD",Executive Deputy Commissioner,"Health & Mental Hygiene, Department of",DOHMH,Division of Mental Hygiene,(347) 936-7153,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Verónica Guerrero,Counsel to the Committee on Character & Fitness,New York State Supreme Court Appellate Division - First Department (New York and Bronx County),,"Committee on Character and Fitness of Applicants for Admission to the Bar, First Judicial Department",,,(646) 386-5893,,41 Madison Ave.,New York,NY,10010,Courts,,Green Book,
"Eugene Sohn, Esq.",Executive Counsel & Labor Designee,City University of New York,CUNY,Community Colleges > Eugenio María de Hostos Community College,(718) 518-4281,,(718) 518-4444,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Julie Menin,Speaker of City Council,City Council,NYCC,Members of the Council > Borough of Manhattan > 5th Council District,,,(212) 788-6865,,250 Broadway,New York,NY,10007,City,,Green Book,
"Justin Sanchez, Jr.",Member of City Council,City Council,NYCC,Members of the Council > Borough of the Bronx > 17th Council District,,,(212) 788-7384,,250 Broadway,New York,NY,10007,City,,Green Book,
Doris Cintrón,Interim President,City University of New York,CUNY,Community Colleges > Guttman Community College,,,(646) 313-8020,,50 W. 40th St.,New York,NY,10001,City,,Green Book,
Cristián Samper,President & CEO,Cultural Affairs,DCLA,Cultural Institutions Group > Wildlife Conservation Society,,,(718) 220-5100,,2300 Southern Boulevard & 185th Street,Bronx,NY,10460,City,,Green Book,
Julie Menin,Speaker,City Council,NYCC,Officers of the Council,(212) 788-6865,,,,City Hall,New York,NY,10007,City,,Green Book,
Virginia Maloney,Member of City Council,City Council,NYCC,Members of the Council > Borough of Manhattan > 4th Council District,,,(212) 788-7393,,250 Broadway,New York,NY,10007,City,,Green Book,
Alexa Avilés,Member of City Council,City Council,NYCC,Members of the Council > Borough of Brooklyn > 38th Council District,,,(212) 788-7372,,250 Broadway,New York,NY,10007,City,,Green Book,
Tyrell Hankerson,Member of City Council,City Council,NYCC,Members of the Council > Borough of Queens > 28th Council District,,,(212) 788-7210,,250 Broadway,New York,NY,10007,City,,Green Book,
Phil Wong,Member of City Council,City Council,NYCC,Members of the Council > Borough of Queens > 30th Council District,,,(212) 788-7381,,250 Broadway,New York,NY,10007,City,,Green Book,
Shirley Thomas-Henry,Member of City Council,City Council,NYCC,Members of the Council > Borough of Queens > 21st Council District,,,(212) 788-6862,,250 Broadway,New York,NY,10007,City,,Green Book,
Kayla Santosuosso,Member of City Council,City Council,NYCC,Members of the Council > Borough of Brooklyn > 47th Council District,,,,,250 Broadway,New York,NY,10007,City,,Green Book,
Elsie Encarnacion,Member of City Council,City Council,NYCC,Members of the Council > Borough of the Bronx > 8th Council District,,,(347) 297-4922,,214 St. Ann's Ave.,Bronx,NY,10454,City,,Green Book,
Esther Rodriguez-Chardavoyne,"Senior Vice President, Administration & Finance",City University of New York,CUNY,Community Colleges > Eugenio María de Hostos Community College,(718) 518-4308,,(718) 518-4444,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Tariqua Mensah,Chief of Staff,Borough President - Queens,,,(718) 286-2882,,,,120-55 Queens Blvd.,Kew Gardens,NY,11424,City,,Green Book,
Patricia Reilly,Executive Director,Teachers' Retirement System,,,(212) 612-5402,,,,55 Water St.,New York,NY,10041,City,,Green Book,
Yume Kitasei,Commissioner,Citywide Administrative Services,DCAS,,(212) 386-0201,,,,1 Centre St.,New York,NY,10007,City,,Green Book,
Sharlotte S. Smith,Deputy Chief Clerk IV,New York State Surrogate's Court - Bronx County,,,(718) 618-2300,,,,851 Grand Concourse,Bronx,NY,10451,Courts,,Green Book,
Sylvia Aude,"Senior Vice President for PHO, Tenancy Administration","Housing Authority, NYC",NYCHA,Operations,(212) 306-3921,,,,90 Church St.,New York,NY,10007,City,,Green Book,
Kahleel Bragg,Deputy Chief of Staff,Borough President - Queens,,,(718) 286-2974,,,,120-55 Queens Blvd.,Kew Gardens,NY,11424,City,,Green Book,
Julie Bolcer,Deputy Commissioner/Chief Communications Officer,"Medical Examiner, Office of Chief",OCME,,(212) 447-2041,,,,421 E. 26th St.,New York,NY,10016,City,,Green Book,
Magdalena Porrata,Supervisor of Attorneys,New York State Surrogate's Court - Bronx County,,,,,,,851 Grand Concourse,Bronx,NY,10451,Courts,,Green Book,
Nelida Malave-Gonzalez,Surrogate,New York State Surrogate's Court - Bronx County,,,(718) 618-2300,,,,851 Grand Concourse,Bronx,NY,10451,Courts,,Green Book,
Naeem Ullah,Deputy Commissioner/Chief Information Officer,"Medical Examiner, Office of Chief",OCME,,(212) 323-1836,,,,421 E. 26th St.,New York,NY,10016,City,,Green Book,
Jumaris Bergés,Assistant Commissioner/Agency Chief Contracting Officer,"Medical Examiner, Office of Chief",OCME,,(347) 380-1853,(212) 323-1831,,,421 E. 26th St.,New York,NY,10016,City,,Green Book,
"John J. Hughes, Esq.",Chief Clerk VI,New York State Surrogate's Court - Bronx County,,,(718) 618-2300,,,,851 Grand Concourse,Bronx,NY,10451,Courts,,Green Book,
Joseph Raione,Borough Chief,Sanitation,DSNY,Operations > Borough Offices & Borough Chiefs > Brooklyn North,(718) 571-6441,,(718) 571-6425,,161 Varick Ave.,Brooklyn,NY,11237,City,,Green Book,
Shivonne Hutson,Equal Employment Opportunity Officer,"Medical Examiner, Office of Chief",OCME,,(646) 739-9269,(212) 323-1599,,,421 E. 26th St.,New York,NY,10016,City,,Green Book,
Kathleen Corradi,"Senior Vice President, Resident Services, Partnerships & Initiatives","Housing Authority, NYC",NYCHA,Operations,(212) 306-3276,,,,90 Church St.,New York,NY,10007,City,,Green Book,
Jana Pohorelsky,Chief of Staff to the Chief Operating Officer,"Housing Authority, NYC",NYCHA,,(212) 306-6018,,,,90 Church St.,New York,NY,10007,City,,Green Book,
Lillian Harris,"Senior Vice President, Leased Housing","Housing Authority, NYC",NYCHA,Leased Housing,(212) 306-8229,,,,90 Church St.,New York,NY,10007,City,,Green Book,
Christopher Hancock,Borough Chief,Sanitation,DSNY,Operations > Borough Offices & Borough Chiefs > Staten Island,(718) 571-6429,,(718) 370-5400,,2500 Richmond Ave.,Staten Island,NY,10314,City,,Green Book,
Ignazio Azzara,Borough Chief,Sanitation,DSNY,Operations > Borough Offices & Borough Chiefs > Queens West,(646) 885-4603,,(718) 334-9196,,52-35 58th Street,Woodside,NY,11377,City,,Green Book,
Stephanie Gutierrez,"Chief People Officer, People Operations",Campaign Finance Board,CFB,,(212) 409-1750,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Patricia Zafiriadis,VP for Public Housing Tenancy Operations,"Housing Authority, NYC",NYCHA,Operations,(212) 306-3020,,,,90 Church St.,New York,NY,10007,City,,Green Book,
Yokarina Duarte-Medina,Chief Strategic Officer,"Emergency Management, NYC",NYCEM,Bureaus and ASOs > Office of Strategic Operations,(718) 422-8403,,,,165 Cadman Plaza East,Brooklyn,NY,11201,City,,Green Book,
Glenda Y. Villareal,Deputy Commissioner,"Veterans' Services, Department of",DVS,,(646) 891-9101,,,,1 Centre St.,New York,NY,10007,City,,Green Book,
Daton Lewis,Borough Chief,Sanitation,DSNY,Operations > Borough Offices & Borough Chiefs > Bronx,(646) 885-4822,,(347) 565-2033,,800 E. 176th Street,Bronx,NY,10460,City,,Green Book,
Yokarina Duarte-Medina,Chief of Staff,"Emergency Management, NYC",NYCEM,,(718) 422-8469,,,,165 Cadman Plaza East,Brooklyn,NY,11201,City,,Green Book,
Christina Farrell,Acting Commissioner,"Emergency Management, NYC",NYCEM,,(718) 422-4895,,,,165 Cadman Plaza East,Brooklyn,NY,11201,City,,Green Book,
Daniel Lindley,"Chief, Cleaning and Collection",Sanitation,DSNY,Operations > Cleaning and Collection,(646) 885-4646,,,,125 Worth St.,New York,NY,10013,City,,Green Book,
John Grimm,"Deputy Commissioner, Logistics","Emergency Management, NYC",NYCEM,Bureaus and ASOs > Office of Strategic Operations,(718) 422-4838,,,,165 Cadman Plaza East,Brooklyn,NY,11201,City,,Green Book,
Joseph Antonelli,Deputy Commissioner Management & Budget,Sanitation,DSNY,Management & Budget,(646) 885-4806,,,,125 Worth St.,New York,NY,10013,City,,Green Book,
Charisse Jamroz,VP for Management Services Department,"Housing Authority, NYC",NYCHA,Operations,(212) 306-8245,,,,90 Church St.,New York,NY,10007,City,,Green Book,
Robert Cavanaugh,Borough Chief,Sanitation,DSNY,Operations > Borough Offices & Borough Chiefs > Queens East,(718) 334-9077,,(718) 714-2400,,120-15 31st Ave.,Flushing,NY,11354,City,,Green Book,
Herman Schaffer,"Deputy Commissioner, Community Preparedness","Emergency Management, NYC",NYCEM,Bureaus and ASOs > Community Preparedness Bureau,(718) 422-4821,,,,165 Cadman Plaza East,Brooklyn,NY,11201,City,,Green Book,
James Leavy,Borough Chief,Sanitation,DSNY,Operations > Borough Offices & Borough Chiefs > Manhattan,(212) 360-3540,,(212) 360-3520,,427 E. 87th St.,New York,NY,10028,City,,Green Book,
Emily Jagroop,Chief Information Officer,"Veterans' Services, Department of",DVS,,(646) 889-4181,,,,1 Centre St.,New York,NY,10007,City,,Green Book,
Jon Dohlin,Director,Cultural Affairs,DCLA,Cultural Institutions Group > New York Aquarium,,,(718) 265-FISH,,31 Chambers St.,New York,NY,10007,City,,Green Book,
Jimmy Alomar,"Assistant Commissioner, Fiscal Affairs",Sanitation,DSNY,Management & Budget,(646) 885-4569,,,,125 Worth St.,New York,NY,10013,City,,Green Book,
Rosemarie J. Montalbano,Surrogate,New York State Surrogate's Court - Kings County,,,,,,,2 Johnson St.,Brooklyn,NY,11201,Courts,,Green Book,
Terrance Stroud,"Deputy Commissioner, Training",Human Resources Administration / Department of Social Services,HRA DSS,DSS Office of Legal Affairs,(929) 221-6808,,,,150 Greenwich St.,New York,NY,10007,City,,Green Book,
Chuck Kanu P.E.,"Assistant Commissioner, Facilities, Planning and Engineering",Sanitation,DSNY,"Support Services > Facilities, Planning and Engineering",(212) 437-4527,,,,44 Beaver St.,New York,NY,10004,City,,Green Book,
John Capo,"Director, Solid Waste Management",Sanitation,DSNY,Support Services > Solid Waste Management,(646) 885-4693,,(646) 885-4700,,125 Worth St.,New York,NY,10013,City,,Green Book,
Matthew Penfold,Deputy Commissioner,Finance,DOF,Tax Policy & Data Analytics,(212) 291-4041,,,,59 Maiden Ln.,New York,NY,10038,City,,Green Book,
Glenda Y. Villareal,General Counsel & ACCO,"Veterans' Services, Department of",DVS,,(646) 891-9101,,,,1 Centre St.,New York,NY,10007,City,,Green Book,
Cassandra Alvarez,Chief of Staff,"Veterans' Services, Department of",DVS,,(646) 891-8637,,,,1 Centre St.,New York,NY,10007,City,,Green Book,
Olga Statz,Deputy Commissioner for Legal Affairs/General Counsel,Business Integrity Commission,BIC,,(212) 437-0510,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Lisa Scott-McKenzie,Commissioner,"Aging, Department for the",,,(212) 602-4100,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
Charlie Anderson,"Senior Director, Government Affairs","Aging, Department for the",,External Affairs,(212) 602-4152,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
Charles Rivera,Press Secretary,"Veterans' Services, Department of",DVS,,(646) 740-7296,,,,1 Centre St.,New York,NY,10007,City,,Green Book,
Anya Herasme,"Associate Commissioner, Community Services","Aging, Department for the",,Programs,(212) 602-4134,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
Kirann Nesbit,"Chief Equal Employment/Diversity, Equity, and Inclusion Officer",Campaign Finance Board,CFB,,(212) 409-1847,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Ronald Spence,"Assistant Commissioner, Preparedness and Resilience","Correction, Department of",DOC,Division of Strategic Operations,(718) 546-03351,,,,75-20 Astoria Blvd.,East Elmhurst,NY,11370,City,,Green Book,
Vilda Vera Mayuga,Commissioner / Chief Administrative Law Judge,"Administrative Trials And Hearings, Office of",OATH,,(212) 933-3015,(212) 933-3001,,,100 Church St.,New York,NY,10007,City,,Green Book,
Diem Tran,Executive Counsel,District Attorney,,District Attorney - Kings County,,,(718) 250-2000,,350 Jay St.,Brooklyn,NY,11201,County,,Green Book,
(vacant),Executive Assistant to Commissioner,Transportation,DOT,,(212) 839-6406,,,(212) 839-6490,55 Water St.,New York,NY,10041,City,yes,Green Book,
Faye Lewis,Deputy Commissioner/Supervising Administrative Law Judge,"Administrative Trials And Hearings, Office of",OATH,,(212) 933-3016,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Alissa Guzman,"Director, Marketing/Digital Communications",Campaign Finance Board,CFB,,(212) 409-1840,,,,100 Church St.,New York,NY,10007,City,,Green Book,
"Alister F. Martin MD, MPP",Commissioner,"Health & Mental Hygiene, Department of",DOHMH,,(347) 396-4133,,,,42-09 28th St.,Long Island City,NY,11101,City,,Green Book,
Chetan Patel,"Director, Engineering Audit Bureau",Transportation,DOT,Office of the Executive Deputy Commissioner > Audit Bureau,(212) 839-4404,,,,55 Water St.,New York,NY,10041,City,,Green Book,
Azikiwe Rich,"Assistant Commissioner of Analytics, Performance & Management",Transportation,DOT,Office of the Executive Deputy Commissioner > Performance & Asset Management,(212) 839-6443,,,,55 Water St.,New York,NY,10041,City,,Green Book,
"Christine Kakoulas, MD","Chief Medical Officer, BHS",Fire Department,FDNY,Bureau of Health Services,(718) 999-1933,,(718) 999-1917,,9 MetroTech Center,Brooklyn,NY,11201,City,,Green Book,
Angelina Martinez-Rubio,"Deputy Commissioner, Legal and Intergovernmental Affairs",Youth and Community Development,DYCD,,(646) 343-6099,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
(vacant),"Executive Deputy ACCO, Construction & Consultant Programs",Transportation,DOT,Office of the Executive Deputy Commissioner > Agency Chief Contracting Office,(212) 839-9297,,,,55 Water St.,New York,NY,10041,City,yes,Green Book,
Mario Jr. Rocvil,Executive Director,Transportation,DOT,Office of the Executive Deputy Commissioner > Grants Administration > Fiscal Affairs,(212) 839-4592,,,(212) 839-2711,55 Water St.,New York,NY,10041,City,,Green Book,
Christopher Ryan,Acting Inspector General,Investigation,DOI,Investigations Division: Office of the Inspectors General > New York Police Department,(212) 806-5200,,,,180 Maiden Lane,New York,NY,10038,City,,Green Book,
Justin Kramer,Chief of Administration,District Attorney,,District Attorney - Kings County,,,(718) 250-2000,,350 Jay St.,Brooklyn,NY,11201,County,,Green Book,
JoAnn Kamuf Ward,"Deputy Commissioner, Policy & External Affairs","Human Rights, City Commission on",CCHR,Policy and External Affairs,(212) 416-0255,,,,22 Reade St.,New York,NY,10007,City,,Green Book,
Mark Kovaleski,"Interim Vice President, Enrollment Management & Student Affairs",City University of New York,CUNY,Senior Colleges > John Jay College of Criminal Justice,(212) 237-8100,,(212) 237-8000,,205 E. 42nd St.,New York,NY,10017,City,,Green Book,
Sandra Escamilla-Davies,Commissioner,Youth and Community Development,DYCD,,(646) 343-6710,,,,2 Lafayette St.,New York,NY,10007,City,,Green Book,
Leena Panchwagh,Deputy Commissioner,Buildings,DOB,Information Technology,(212) 393-2015,,,,280 Broadway,New York,NY,10007,City,,Green Book,
Salvatore Agostino,"Assistant Commissioner, Strategic Enforcement",Buildings,DOB,Enforcement,(212) 393-2940,,,,280 Broadway,New York,NY,10007,City,,Green Book,
Chintan Desai R.A.,Borough Commissioner,Buildings,DOB,Development & Technical Affairs > Bronx Borough Office,(718) 841-2466,,(718) 960-4710,,1932 Arthur Ave.,Bronx,NY,10457,City,,Green Book,
Carlos Ortiz,Chief of Staff,Consumer and Worker Protection,CWP,,(212) 436-0345,,,,42 Broadway,New York,NY,10004,City,,Green Book,
Danielle Zuckerman,Manhattan Borough Commissioner,Transportation,DOT,Office of the First Deputy Commissioner > Borough Commissioners,(212) 839-6210,,,,55 Water St.,New York,NY,10041,City,,Green Book,
Maria C. Otero,"Deputy Commissioner, Employee Relations",Police Department,NYPD,,(646) 610-8170,,,,1 Police Plaza,New York,NY,10038,City,,Green Book,
Nicole Chavis,Chief of Staff,District Attorney,,District Attorney - Kings County,,,(718) 250-2000,,350 Jay St.,Brooklyn,NY,11201,County,,Green Book,
Steven Banks,Corporation Counsel,"Law Department, Office of the Corporation Counsel",LAW,,(212) 356-1000,,,,100 Church St.,New York,NY,10007,City,,Green Book,
Stephanie Rivera,"Assistant Commissioner, LEB","Human Rights, City Commission on",CCHR,Law Enforcement Bureau,,,(212) 416-0197,,22 Reade St.,New York,NY,10007,City,,Green Book,
Christopher Ryan,"Deputy Commissioner, Strategic Initiatives",Investigation,DOI,,(212) 825-2403,,,,180 Maiden Lane,New York,NY,10038,City,,Green Book,
Mark Sanabria,"Deputy Commissioner, Administration",Buildings,DOB,Administration,(212) 393-2022,,,,280 Broadway,New York,NY,10007,City,,Green Book,
Rebecca Kirchheimer,"Deputy Commissioner, Business Process Innovation & Design","Homeless Services, Department of",DHS,DSS Office of the First Deputy Commissioner,(929) 221-6931,,,,33 Beaver St.,New York,NY,10004,City,,Green Book,
James Canty,Chief in Charge,Fire Department,FDNY,Fire Operations > Safety Command,(718) 999-2245,,(718) 999-2245,,9 MetroTech Center,Brooklyn,NY,11201,City,,Green Book,
Raymond M. Weaver,Chief Deputy County Clerk of Jury Operations,County Clerk,,County Clerk - Queens County,,,(718) 298-0601,,88-11 Sutphin Blvd.,Jamaica,NY,11435,County,,Green Book,
Amanda Farinacci,Deputy Commissioner,Fire Department,FDNY,Public Information,(718) 999-2823,,,,9 MetroTech Center,Brooklyn,NY,11201,City,,Green Book,
Jeremy Brooks,"Associate Commissioner, Support Services",Fire Department,FDNY,Bureau of Support Services,(718) 999-6510,,,,9 MetroTech Center,Brooklyn,NY,11201,City,,Green Book,
