tier,name,title,email,status,in_post_since,left_on,moved_to,salary,agency,acronym,org_type,unit,direct_phone,division_phone,agency_phone,address,agency_website,name_source,superseded_name
1,Dean Fuleihan,First Deputy Mayor,,in post,01/01/2026,,,124192.0,"Mayor, Office of the",OOM,Elected Office,First Deputy Mayor,,(212) 788-3000,(212) 788-3000,"City Hall, New York, NY, 10007",http://www.nyc.gov/opendata,Green Book,
1,Elle Bisgaard-Church,Chief of Staff,,,,,,,"Mayor, Office of the",OOM,Elected Office,Chief of Staff,,(212) 788-3000,(212) 788-3000,"City Hall, New York, NY, 10007",http://www.nyc.gov/opendata,Green Book,
1,Helen Arteaga,Deputy Mayor Health & Human Services,,,,,,,"Mayor, Office of the",OOM,Elected Office,Deputy Mayor for Health & Human Services,,(212) 788-3000,(212) 788-3000,"City Hall, New York, NY, 10007",http://www.nyc.gov/opendata,Green Book,
1,Julia Kerson,Deputy Mayor for Operations,,in post,01/01/2026,,,290000.0,"Mayor, Office of the",OOM,Elected Office,Deputy Mayor for Operations,,(212) 788-3000,(212) 788-3000,"City Hall, New York, NY, 10007",http://www.nyc.gov/opendata,Green Book,
1,Julie Su,Deputy Mayor for Economic Justice,,,,,,,"Mayor, Office of the",OOM,Elected Office,Deputy Mayor for Economic Justice,,(212) 788-3000,(212) 788-3000,"City Hall, New York, NY, 10007",http://www.nyc.gov/opendata,Green Book,
1,Leila Bozorg,Deputy Mayor for Housing & Planning,,in post,01/01/2026,,,290000.0,"Mayor, Office of the",OOM,Elected Office,Deputy Mayor for Housing & Planning,,(212) 788-3000,(212) 788-3000,"City Hall, New York, NY, 10007",http://www.nyc.gov/opendata,Green Book,
1,Renita Francois,Deputy Mayor for Community Safety,,in post,04/26/2026,,,290000.0,"Mayor, Office of the",OOM,Elected Office,Deputy Mayor for Community Safety,,(212) 788-3000,(212) 788-3000,"City Hall, New York, NY, 10007",http://www.nyc.gov/opendata,Green Book,
1,Zohran K. Mamdani,Mayor of the City of New York,,in post,01/01/2026,,,258750.0,"Mayor, Office of the",OOM,Elected Office,,,,(212) 788-3000,"City Hall, New York, NY, 10007",http://www.nyc.gov/opendata,Green Book,
2,Vilda Vera Mayuga,Commissioner / Chief Administrative Law Judge,,,,,,,"Administrative Trials And Hearings, Office of",OATH,Mayoral Agency,,(212) 933-3015,,(844) 628-4692,"100 Church St., New York, NY, 10007",http://NYC.gov/oath,Green Book,
2,Lisa Scott-McKenzie,Commissioner,,,,,,,"Aging, Department for the",,Mayoral Agency,,(212) 602-4100,,(212) 602-4100,"2 Lafayette St., New York, NY, 10007",http://twitter.com/NYCAging,Green Book,
2,Eric Landau,President,,,,,,,Brooklyn Bridge Park Corporation,,Public Benefit or Development Organization,,(718) 650-5925,,(718) 222-9939,"334 Furman St., Brooklyn, NY, 11201",https://brooklynbridgepark.org,Green Book,
2,Lindsay Greene,President & Chief Executive Officer,,,,,,,Brooklyn Navy Yard Development Corporation,,Public Benefit or Development Organization,,(718) 907-5908,,(718) 907-5900,"141 Flushing Avenue, Suite 801, Brooklyn, NY, 11205",,Green Book,
2,Ahmed Tigani,Commissioner,,in post,01/18/2026,,,286627.0,Buildings,DOB,Mayoral Agency,,(212) 393-2001,,(212) NEW-YORK,"280 Broadway, New York, NY, 10007",https://www.nyc.gov/site/buildings/dob/office-locations.page,Green Book,
2,Rebecca Jones Gaston,Commissioner,,,,,,,"Children's Services, Administration for",ACS,Mayoral Agency,,(212) 341-0903,,(877) 543-7892,"150 William St., New York, NY, 10038",https://NYC.gov/html/acs,governance dataset,Jess Dannhauser
2,Sideya Sherman,Director,,in post,03/15/2026,,,286627.0,City Planning,DCP,Mayoral Agency,,(212) 720-3200,,(212) 720-3300,"120 Broadway, New York, NY, 10271",https://www1.nyc.gov/site/planning/about/contact-us.page,governance dataset,Daniel Garodnick
2,Mohamed Attalla,Executive Director,,,,,,,City University Construction Fund,,Public Benefit or Development Organization,,(646) 664-2609,,(646) 664-2609,"555 W. 57th St., New York, NY, 10019",,Green Book,
2,Yume Kitasei,Commissioner,,,,,,,Citywide Administrative Services,DCAS,Mayoral Agency,,(212) 386-0201,,,"1 Centre St., New York, NY, 10007",https://www1.nyc.gov/site/dcas/index.page,Green Book,
2,Samuel A. Levine,Commissioner,,in post,01/01/2026,,,268000.0,Consumer and Worker Protection,CWP,Mayoral Agency,,,,(212) NEW-YORK,"42 Broadway, New York, NY, 10004",https://nyc.gov/DCWP,Green Book,
2,Kim L. Yu,Chief Procurement Officer & Director,,,,,,,"Contract Services, Mayor's Office of",MOCS,Mayoral Office,,(212) 298-0800,,(212) 298-0800,"255 Greenwich St., New York, NY, 10007",http://NYC.gov/mocs,Green Book,
2,Stanley Richards,Commissioner,,,,,,,"Correction, Department of",DOC,Mayoral Agency,,(718) 546-0890,,(718) 546-3150,"75-20 Astoria Blvd., East Elmhurst, NY, 11370",https://www1.nyc.gov/site/doc/about/facilities-locations.page,governance dataset,Lynelle Maginley-Liddie
2,Diya Vij,Commissioner,,in post,03/15/2026,,,268493.0,Cultural Affairs,DCLA,Mayoral Agency,,(212) 298-8768,,(212) 298-8700,"31 Chambers St., New York, NY, 10007",https://www.nyc.gov/site/dcla/index.page,governance dataset,Laurie Cumbo
2,Paul Ochoa,Acting Commissioner,,,,,,,Design and Construction,DDC,Mayoral Agency,,(718) 391-1636,,(718) 391-1000,"30-30 Thomson Ave., Long Island City, NY, 11101",https://NYC.gov/ddc,governance dataset,Eduardo del Valle P.E.
2,Anthony Shorris,President & CEO,,,,,,,"Economic Development Corporation, NYC",NYCEDC,Public Benefit or Development Organization,,(212) 312-3500,,(212) 619-5000,"One Liberty Plaza, New York, NY, 10006",https://www.nycedc.com,Green Book,
2,Kamar Samuels,Chancellor,,,,,,,Education,,Mayoral Agency,,(212) 374-0200,,(212) 374-6000,"52 Chambers St., New York, NY, 10007",http://www.NYC.gov/schools,Green Book,
2,Jennifer Maldonado,Chief Executive Officer,,,,,,,Educational Construction Fund,ECF,Public Benefit or Development Organization,,(212) 374-5026,,(718) 472-8287,"25-01 Jackson Ave., Long Island City, NY, 11101",,Green Book,
2,Christina Farrell,Acting Commissioner,,,,,,,"Emergency Management, NYC",NYCEM,Mayoral Agency,,(718) 422-4895,,(718) 422-4800,"165 Cadman Plaza East, Brooklyn, NY, 11201",https://nyc.gov/emergencymanagement,Green Book,
2,Lisa F. Garcia,Commissioner & Chief Climate Officer,,,,,,,Environmental Protection,DEP,Mayoral Agency,,,,311,"59-17 Junction Blvd., Flushing, NY, 11373",https://NYC.gov/dep,Green Book,
2,Richard Lee,Commissioner,,,,,,,Finance,DOF,Mayoral Agency,,(212) 602-7005,,311,"1 Centre St., New York, NY, 10007",https://nyc.gov/finance,Green Book,
2,Lillian Bonsignore,Commissioner,,in post,01/01/2026,,,286627.0,Fire Department,FDNY,Mayoral Agency,,(718) 999-2004,,(718) 999-2000,"9 MetroTech Center, Brooklyn, NY, 11201",https://www.nyc.gov/site/fdny/index.page,Green Book,
2,Patti Murphy,Executive Director,,,,,,,"Fire Museum, NYC",,,,,,(212) 691-1303,"278 Spring St., New York, NY, 10013",https://www.nycfiremuseum.org,Green Book,
2,Clare Newman,President & Chief Executive Officer,,,,,,,"Governors Island, Trust for",,Public Benefit or Development Organization,,(212) 440-2200,,(212) 440-2200,"10 South St., New York, NY, 10004",https://www.govisland.com,Green Book,
2,"Alister F. Martin MD, MPP",Commissioner,,,,,,,"Health & Mental Hygiene, Department of",DOHMH,Mayoral Agency,,(347) 396-4133,,311,"42-09 28th St., Long Island City, NY, 11101",https://NYC.gov/health,Green Book,
2,Mitchell Katz,President & CEO,,,,,,,"Health + Hospitals NYC, (NYC H+H)",,,,(212) 788-3321,,(212) 788-3339,"50 Water St., New York, NY, 10004",https://www.nychealthandhospitals.org/health_care/,Green Book,
2,Lisa Bova-Hiatt,Chief Executive Officer,,,,,,,"Housing Authority, NYC",NYCHA,Public Benefit or Development Organization,,(212) 306-3420,,(212) 306-3000,"90 Church St., New York, NY, 10007",https://www1.nyc.gov/site/nycha/index.page,Green Book,
2,Eric Enderlin,President,,,,,,,"Housing Development Corporation, NYC",HDC,Public Benefit or Development Organization,,,,(212) 227-6865,"120 Broadway, New York, NY, 10271",,Green Book,
2,Dina Levy,Commissioner,,,,,,,Housing Preservation & Development,HPD,Mayoral Agency,,,,(212) NEW-YORK,"100 Gold St., New York, NY, 10038",https://NYC.gov/hpd,Green Book,
2,Jocelyn Strauber,Acting Commissioner,,,,,,,Investigation,DOI,Mayoral Agency,,(212) 825-2403,,(212) 825-5959,"180 Maiden Lane, New York, NY, 10038",https://www.nyc.gov/site/doi/index.page,governance dataset,Christopher Ryan
2,Renee Campion,Commissioner,,,,,,,"Labor Relations, Office of",OLR,Mayoral Office,,,,(212) 306-7760,"22 Cortlandt St., New York, NY, 10007",https://NYC.gov/html/olr,Green Book,
2,Steven Banks,Corporation Counsel,,in post,02/13/2026,,,290000.0,"Law Department, Office of the Corporation Counsel",LAW,Mayoral Agency,,(212) 356-1000,,(212) 356-1000,"100 Church St., New York, NY, 10007",https://www1.nyc.gov/site/law/contact/office-locations.page,Green Book,
2,Daniel A. Ciniello,President,,,,,,,Lower Manhattan Development Corporation,LMDC,Public Benefit or Development Organization,,,,(212) 962-2300,"22 Cortlandt St., New York, NY, 10007",https://www.renewnyc.com,Green Book,
2,Sherif Soliman,Director,,in post,01/01/2026,,,290000.0,"Management & Budget, Office of",OMB,Mayoral Office,,(212) 788-5800,,(212) 788-5800,"255 Greenwich St., New York, NY, 10007",https://www.nyc.gov/omb,Green Book,
2,Afua Atta-Mensah,NYC Chief Equity Officer and Commissioner,,,,,,,Mayor's Office of Equity & Racial Justice,MOERJ,Mayoral Office,,,,(212) 748-0395,"253 Broadway, New York, NY, 10007",https://www.nyc.gov/site/equity,governance dataset,Sideya Sherman
2,Rafael Espinal,Commissioner,,,,,,,"Media and Entertainment, Mayor's Office of",MOME,Mayoral Office,,,,(212) 602-7400,"1 Centre St., New York, NY, 10007",http://NYC.gov/mome,governance dataset,Patricia Swinney Kaufman
2,"Jason K. Graham, MD",Chief Medical Examiner,,,,,,,"Medical Examiner, Office of Chief",OCME,Mayoral Agency,,(212) 447-2321,,(212) 447-2030,"421 E. 26th St., New York, NY, 10016",https://www1.nyc.gov/site/ocme/locations/family-services-centers.page,Green Book,
2,Kyle Markland,CEO,,,,,,,Municipal Credit Union,MCU,,,,,(212) 238-3300,"22 Cortlandt St., New York, NY, 10007",http://www.nymcu.org,Green Book,
2,LeRoy C. McGinnis,Executive Director,,,,,,,NYC Fire Pension Fund,,,,(929) 436-0099,,(929) 436-0099,"1 Battery Park Plaza, New York, NY, 10004",,Green Book,
2,Julie Coker,President & Chief Executive Officer,,,,,,,New York City Tourism (previously NYC & Company),,,,,,(212) 484-1200,"810 Seventh Ave., New York, NY, 10019",https://www.nyctourism.com/,Green Book,
2,Lisa Gelobter,Chief Technology Officer & Commissioner,,,,,,,Office of Technology & Innovation,OTI,Mayoral Office,,(212) 788-5700,,(718) 403-8500,"375 Pearl St., New York, NY, 10038",https://www1.nyc.gov/content/oti/pages/,governance dataset,Matthew C. Fraser
2,Tricia Shimamura,Commissioner,,in post,02/01/2026,,,286627.0,"Parks, NYC",,Mayoral Agency,,(212) 360-1305,,(718) 760-6666,"The Arsenal, Central Park, 830 5th Ave. Room 203, New York, NY, 10065",https://www.nycgovparks.org/,Green Book,
2,Neil Matthew,Executive Director,,,,,,,"Payroll Administration, Office of",OPA,Mayoral Agency,,(212) 857-7301,,(212) 857-1100,"5 Manhattan West, New York, NY, 10001",,Green Book,
2,Jessica S. Tisch,Police Commissioner,,,,,,,Police Department,NYPD,Mayoral Agency,,,,911,"1 Police Plaza, New York, NY, 10038",http://NYC.gov/nypd,Green Book,
2,Sharun Goodwin,Commissioner,,in post,01/27/2026,,,286627.0,Probation,DOP,Mayoral Agency,,(212) 510-3710,,(212) 510-3700,"33 Beaver St., New York, NY, 10004",https://www1.nyc.gov/site/probation/about/locations.page,Green Book,
2,Shawn(ta) Smith-Cruz,Commissioner,,,,,,,Records & Information Services,,Mayoral Agency,,(212) 788-8607,,(212) NEW-YORK,"31 Chambers St., New York, NY, 10007",http://NYC.gov/records,Green Book,
2,Gregory P. Anderson,Commissioner,,,,,,,Sanitation,DSNY,Mayoral Agency,,,,(212) NEW-YORK,"125 Worth St., New York, NY, 10013",https://NYC.gov/sanitation,Green Book,
2,Nina Kubota,President/Chief Executive Officer,,,,,,,"School Construction Authority, NYC",SCA,Public Benefit or Development Organization,,(718) 472-8001,,(718) 472-8000,"30-30 Thomson Ave., Long Island City, NY, 11101",http://www.nycsca.org,Green Book,
2,Kenny Minaya,Commissioner,,,,,,,Small Business Services,SBS,Mayoral Agency,,(212) 513-6350,,(212) 513-6300,"One Liberty Plaza, New York, NY, 10006",https://nyc.gov/sbs,Green Book,
2,Midori Valdivia,Acting Commissioner/Chair,,,,,,,Taxi & Limousine Commission,TLC,Mayoral Agency,,(212) 676-1003,,212 NEW YORK,"33 Beaver St., New York, NY, 10004",https://NYC.gov/taxi,governance dataset,Evan Hines
2,David Womack,Comptroller,,,,,,,"Transitional Finance Authority, NYC",TFA,Public Benefit or Development Organization,,(212) 788-6041,,(212) 788-5864,"255 Greenwich St., New York, NY, 10007",https://NYC.gov/tfa,governance dataset,Raymond Lee
2,Mike Flynn,Commissioner,,,,,,,Transportation,DOT,Mayoral Agency,,(212) 839-6400,,(212) NEW-YORK,"55 Water St., New York, NY, 10041",https://NYC.gov/dot,Green Book,
2,Yesenia Mata,Commissioner,,,,,,,"Veterans' Services, Department of",DVS,Mayoral Agency,,,,(212) 416-5250,"1 Centre St., New York, NY, 10007",https://NYC.gov/veterans,governance dataset,James W. Hendon
2,David Womack,Chief Executive Officer,,,,,,,"Water Finance Authority, NYC Municipal",,Public Benefit or Development Organization,,(212) 788-5872,,(212) 788-5889,"255 Greenwich St., New York, NY, 10007",https://NYC.gov/nyw,Green Book,
2,Sandra Escamilla-Davies,Commissioner,,,,,,,Youth and Community Development,DYCD,Mayoral Agency,,(646) 343-6710,,(646) 343-6000,"2 Lafayette St., New York, NY, 10007",https://NYC.gov/dycd,Green Book,
